ts,symbol,open,high,low,close,volume,provider
2025-01-01T03:55:00Z,USDJPY,100.1149,100.3820,100.0410,100.1527,657,paid_feed_stub
2025-01-01T04:00:00Z,USDJPY,100.0503,100.2254,99.8934,100.2242,283,paid_feed_stub
2025-01-01T04:05:00Z,USDJPY,100.2232,100.2948,100.1045,100.2919,369,paid_feed_stub
2025-01-01T04:10:00Z,USDJPY,100.0762,100.3017,100.0544,100.0595,998,paid_feed_stub
2025-01-01T04:15:00Z,USDJPY,100.4730,100.4950,100.4091,100.3791,939,paid_feed_stub
2025-01-01T04:20:00Z,USDJPY,100.7777,101.0415,100.6669,100.6408,850,paid_feed_stub
2025-01-01T04:25:00Z,USDJPY,100.9406,101.1241,100.6444,101.0022,107,paid_feed_stub
2025-01-01T04:30:00Z,USDJPY,101.1942,101.2841,100.9952,101.3698,220,paid_feed_stub
2025-01-01T04:35:00Z,USDJPY,100.8866,100.9187,100.7206,100.7955,644,paid_feed_stub
2025-01-01T04:40:00Z,USDJPY,101.0607,101.1218,100.8704,100.9663,539,paid_feed_stub
2025-01-01T04:45:00Z,USDJPY,101.3849,101.6388,101.3573,101.3544,349,paid_feed_stub
2025-01-01T04:50:00Z,USDJPY,100.9878,101.2191,100.7967,100.8926,767,paid_feed_stub
2025-01-01T04:55:00Z,USDJPY,101.0291,101.1574,101.0262,100.8592,894,paid_feed_stub
2025-01-01T05:00:00Z,USDJPY,101.3523,101.5159,101.1019,101.3853,233,paid_feed_stub
2025-01-01T05:05:00Z,USDJPY,101.0542,101.1467,100.7845,101.1727,874,paid_feed_stub
2025-01-01T05:10:00Z,USDJPY,101.3734,101.4364,101.2985,101.2145,802,paid_feed_stub
2025-01-01T05:15:00Z,USDJPY,101.6807,101.8026,101.4945,101.5425,936,paid_feed_stub
2025-01-01T05:20:00Z,USDJPY,101.9724,102.2652,101.7291,102.1249,122,paid_feed_stub
2025-01-01T05:25:00Z,USDJPY,102.1616,102.2613,101.8824,102.2825,877,paid_feed_stub
2025-01-01T05:30:00Z,USDJPY,102.4102,102.4903,102.1740,102.2534,884,paid_feed_stub
2025-01-01T05:35:00Z,USDJPY,102.6971,102.7638,102.4521,102.6812,374,paid_feed_stub
2025-01-01T05:40:00Z,USDJPY,102.9334,103.0016,102.9263,102.8106,395,paid_feed_stub
2025-01-01T05:45:00Z,USDJPY,103.2248,103.5149,103.1411,103.2814,459,paid_feed_stub
2025-01-01T05:50:00Z,USDJPY,103.6098,103.7706,103.3280,103.4559,973,paid_feed_stub
2025-01-01T05:55:00Z,USDJPY,103.3526,103.6414,103.2730,103.1960,491,paid_feed_stub
2025-01-01T06:00:00Z,USDJPY,103.5355,103.6296,103.3536,103.5400,446,paid_feed_stub
2025-01-01T06:05:00Z,USDJPY,103.5967,103.6731,103.3841,103.3974,933,paid_feed_stub
2025-01-01T06:10:00Z,USDJPY,103.6275,103.8433,103.4049,103.6957,427,paid_feed_stub
2025-01-01T06:15:00Z,USDJPY,103.2835,103.4827,103.1844,103.2090,863,paid_feed_stub
2025-01-01T06:20:00Z,USDJPY,103.4593,103.5494,103.3665,103.4226,462,paid_feed_stub
2025-01-01T06:25:00Z,USDJPY,103.2958,103.3340,103.1697,103.4719,709,paid_feed_stub
2025-01-01T06:30:00Z,USDJPY,103.6180,103.8027,103.5278,103.6372,100,paid_feed_stub
2025-01-01T06:35:00Z,USDJPY,103.4476,103.5765,103.2736,103.5095,518,paid_feed_stub
2025-01-01T06:40:00Z,USDJPY,103.4013,103.4654,103.2593,103.5618,816,paid_feed_stub
2025-01-01T06:45:00Z,USDJPY,103.1371,103.1625,102.9824,103.1902,401,paid_feed_stub
2025-01-01T06:50:00Z,USDJPY,103.3918,103.6171,103.1900,103.2816,279,paid_feed_stub
2025-01-01T06:55:00Z,USDJPY,103.0113,103.0848,102.8688,103.1512,165,paid_feed_stub
2025-01-01T07:00:00Z,USDJPY,102.9429,103.1318,102.8846,103.0214,544,paid_feed_stub
2025-01-01T07:05:00Z,USDJPY,102.7381,102.9349,102.7364,102.8385,793,paid_feed_stub
2025-01-01T07:10:00Z,USDJPY,102.4233,102.5509,102.3706,102.6065,566,paid_feed_stub
2025-01-01T07:15:00Z,USDJPY,102.0635,102.1383,101.8090,102.0461,821,paid_feed_stub
2025-01-01T07:20:00Z,USDJPY,102.1976,102.4939,102.0189,102.3776,902,paid_feed_stub
2025-01-01T07:25:00Z,USDJPY,102.2877,102.5035,102.1363,102.4199,593,paid_feed_stub
2025-01-01T07:30:00Z,USDJPY,102.6055,102.8286,102.4631,102.5091,322,paid_feed_stub
2025-01-01T07:35:00Z,USDJPY,102.7156,102.9453,102.5592,102.7663,347,paid_feed_stub
2025-01-01T07:40:00Z,USDJPY,102.3776,102.4633,102.2961,102.3055,586,paid_feed_stub
2025-01-01T07:45:00Z,USDJPY,102.0883,102.1577,101.8801,102.1708,157,paid_feed_stub
2025-01-01T07:50:00Z,USDJPY,102.0144,102.1771,101.8896,101.8971,478,paid_feed_stub
2025-01-01T07:55:00Z,USDJPY,102.3382,102.5135,102.1296,102.4809,789,paid_feed_stub
2025-01-01T08:00:00Z,USDJPY,102.2425,102.2443,102.1370,102.3439,868,paid_feed_stub
2025-01-01T08:05:00Z,USDJPY,102.6053,102.7310,102.3810,102.6237,642,paid_feed_stub
2025-01-01T08:10:00Z,USDJPY,102.3817,102.4475,102.2510,102.1933,402,paid_feed_stub
2025-01-01T08:15:00Z,USDJPY,102.5250,102.6463,102.4755,102.5120,214,paid_feed_stub
2025-01-01T08:20:00Z,USDJPY,102.6228,102.6309,102.5046,102.6486,124,paid_feed_stub
2025-01-01T08:25:00Z,USDJPY,102.7370,102.7777,102.5985,102.5571,441,paid_feed_stub
2025-01-01T08:30:00Z,USDJPY,102.5064,102.6044,102.2780,102.4580,776,paid_feed_stub
2025-01-01T08:35:00Z,USDJPY,102.7719,102.8476,102.7473,102.5796,585,paid_feed_stub
2025-01-01T08:40:00Z,USDJPY,103.1718,103.2768,102.9768,103.2843,686,paid_feed_stub
2025-01-01T08:45:00Z,USDJPY,103.3752,103.6601,103.3154,103.1834,237,paid_feed_stub
2025-01-01T08:50:00Z,USDJPY,103.0762,103.2770,102.9070,102.9634,729,paid_feed_stub
2025-01-01T08:55:00Z,USDJPY,103.2897,103.3400,103.1075,103.3889,203,paid_feed_stub
2025-01-01T09:00:00Z,USDJPY,103.5451,103.8346,103.5127,103.3554,380,paid_feed_stub
2025-01-01T09:05:00Z,USDJPY,103.6870,103.9745,103.5680,103.7730,168,paid_feed_stub
2025-01-01T09:10:00Z,USDJPY,103.8395,104.0277,103.8089,103.9485,865,paid_feed_stub
2025-01-01T09:15:00Z,USDJPY,103.9198,103.9562,103.6247,104.0329,412,paid_feed_stub
2025-01-01T09:20:00Z,USDJPY,103.8625,103.9737,103.7108,103.7990,864,paid_feed_stub
2025-01-01T09:25:00Z,USDJPY,104.1204,104.1521,103.8322,104.1746,845,paid_feed_stub
2025-01-01T09:30:00Z,USDJPY,104.2863,104.4169,104.0661,104.4724,343,paid_feed_stub
2025-01-01T09:35:00Z,USDJPY,104.5328,104.6943,104.3878,104.5070,757,paid_feed_stub
2025-01-01T09:40:00Z,USDJPY,104.3475,104.6030,104.0983,104.1822,893,paid_feed_stub
2025-01-01T09:45:00Z,USDJPY,104.1426,104.2820,103.9595,104.0942,125,paid_feed_stub
2025-01-01T09:50:00Z,USDJPY,104.4234,104.4779,104.3598,104.5425,406,paid_feed_stub
2025-01-01T09:55:00Z,USDJPY,104.7276,104.9380,104.6448,104.5317,953,paid_feed_stub
